university_type,university_name,latitute,longitude,additional_note
science and engineering,Islamic Azad University Islamshahr,35.5562075,51.2504099,
science and engineering,Islamic Azad University Jahrom,28.5125913,53.5774796,
science and engineering,Islamic Azad University Kazeroon,29.6553001,51.6021493,
science and engineering,Islamic Azad University Kerman,30.2415985,57.0773228,
science and engineering,Islamic Azad University Kermanshah,34.2897681,47.0269433,
science and engineering,Islamic Azad University Khash,28.2071358,61.2247869,
science and engineering,Islamic Azad University Khomain,33.6101892,50.0686214,
science and engineering,Islamic Azad University Khomeinishahr,32.715849,51.482147,
science and engineering,Islamic Azad University Khorasgan,32.6414205,51.7847565,
science and engineering,Islamic Azad University Khoy,38.4903494,44.9522851,
science and engineering,Islamic Azad University Lahijan,37.189866,50.0100542,
science and engineering,Islamic Azad University Lamerd,27.3388189,53.1658192,
science and engineering,Islamic Azad University Larestan,27.6561917,54.2880021,
science and engineering,Islamic Azad University Mahabad,36.7613001,45.74437,
science and engineering,Islamic Azad University Maragheh,37.3715657,46.2054789,
science and engineering,Islamic Azad University Marand,38.4089346,45.7740194,
science and engineering,Islamic Azad University Marvdasht,29.9151642,52.8393138,
science and engineering,Islamic Azad University Miyandoab,36.9796597,46.1277179,
science and engineering,Islamic Azad University Mobarakeh,32.355751,51.493452,
science and engineering,Islamic Azad University Myianeh,37.4293695,47.7164393,
science and engineering,Islamic Azad University Naein,32.3369123,53.9623507,
science and engineering,Islamic Azad University Najafabad,32.6714221,51.3925164,
science and engineering,Islamic Azad University Naragh,34.0226713,50.8680734,
science and engineering,Islamic Azad University Neyriz,29.2057436,54.3242631,
science and engineering,Islamic Azad University Neyshabur,36.2517827,58.8333691,
science and engineering,Islamic Azad University Mashhad,36.3061445,59.572495,
science and engineering,Islamic Azad University Parsabad Mohan,39.6427399,47.9223131,
science and engineering,Islamic Azad University Qaen,33.7438009,59.1685625,
science and engineering,Islamic Azad University Qazvin,36.3216008,50.0331465,
science and engineering,Islamic Azad University Qom,34.5742263,50.8064836,
science and engineering,Islamic Azad University Quchan,37.0657354,58.5368048,
science and engineering,Islamic Azad University Region One (Velayat),35.7992436,51.5285856,
science and engineering,Islamic Azad University Roudehen,35.7233259,51.9182359,
science and engineering,Islamic Azad University Sabzevar,36.2116316,57.6874355,
science and engineering,Islamic Azad University Sanandaj,35.3417858,47.0024564,
science and engineering,Islamic Azad University Sari,36.6483265,53.0700709,
science and engineering,Islamic Azad University Saveh,35.0316869,50.3003847,
science and engineering,Islamic Azad University Semnan,35.6088589,53.4530563,
science and engineering,Islamic Azad University Sepidan,30.2678731,51.983749,
science and engineering,Islamic Azad University Shabestar,38.1725386,45.7082265,
science and engineering,Islamic Azad University Shahr e Majlesi,32.3561188,51.4932969,
science and engineering,Islamic Azad University Shahr-E-Korrd,32.3514119,50.9003616,
science and engineering,Islamic Azad University Shahr-E-Ray,35.5585747,51.3620948,
science and engineering,Islamic Azad University Shahreza,31.9885853,51.8248163,
science and engineering,Islamic Azad University Shiraz,29.7631477,52.4819996,
science and engineering,Islamic Azad University Shirvan,37.4086154,57.9237445,
science and engineering,Islamic Azad University Sirjan,29.420382,55.7120981,
science and engineering,Islamic Azad University Tabriz,38.0442231,46.3884904,
science and engineering,Islamic Azad University Tafresh,34.6976806,49.9827658,
science and engineering,Islamic Azad University Takestan,36.0268769,49.6479061,
science and engineering,Islamic Azad University Tehran Central (Enghelab),35.7015457,51.4316426,
science and engineering,Islamic Azad University Tehran Medical Sciences,35.7775394,51.4330816,
science and engineering,Islamic Azad University Tehran Science & Research Branch,35.785717,51.3173931,
science and engineering,Islamic Azad University Tehran South,35.713182,51.4192741,
science and engineering,Islamic Azad University Tehran North Branch (TNB),35.7476677,51.5735633,
science and engineering,Islamic Azad University Urmia,37.5967452,45.0588253,
science and engineering,Islamic Azad University Varamin,35.3079329,51.7413655,
science and engineering,Islamic Azad University Yasuj,30.7101022,51.5571566,
science and engineering,Islamic Azad University Yazd,31.8394579,54.3515056,
science and engineering,Islamic Azad University Zabol,31.0371188,61.5447836,
science and engineering,Islamic Azad University Zahedan,29.4545159,60.8525378,
science and engineering,Islamic Azad University Zarand (Zarandiyeh),35.3036899,50.5158758,
science and engineering,Shiraz University of Applied Science & Technology ,29.5816377,52.5793008,
science and engineering,University of Applied Science & Technology Qom,34.6657798,50.8651011,
science and engineering,University of Applied Science & Technology Aranbidgol,34.0635067,51.4821768,
science and engineering,University of Applied Science & Technology East Azerbaijan,38.0623475,46.2095692,
science and engineering,University of Applied Science & Technology Isfahan,32.7187987,51.5316729,
science and engineering,University of Applied Science & Technology Zanjan,36.6759518,48.4796915,
social sciences and humanities,Allame Tabataba’ee University (Tehran),35.759498,51.2603363,
social sciences and humanities,Arak University,34.1004438,49.7115518,
social sciences and humanities,Azad University (Tehran) (North Branch),35.7651951,51.4745124,
social sciences and humanities,Azad University (Mashhad),36.3579214,59.515963,
social sciences and humanities,Azarbaijan Tarbiat Moallem University (Azarbaijan Shahid Madani University),37.812023,45.9467506,
social sciences and humanities,Alzahra University (Tehran),35.7682913,51.392491,
social sciences and humanities,Birjand University,32.8576651,59.228193,
social sciences and humanities,Bu-Ali Sina University (Hamadan),34.7922053,48.4882907,
social sciences and humanities,Ferdowsi University of Mashhad,36.3100297,59.5295795,
social sciences and humanities,Guilan University,37.1938394,49.6403486,
social sciences and humanities,Imam Khomeini International University (Qazvin),36.3217333,50.0072798,
social sciences and humanities,Imam Sadiq University (Tehran),35.7689796,51.3836763,
social sciences and humanities,Iran School of International Relations (Tehran),35.8089967,51.4569539,
social sciences and humanities,International University (Tehran),35.7021204,51.3955665,Temporarily closed
social sciences and humanities,Kashan University,34.0141095,51.4057484,
social sciences and humanities,Kerman Khajeh-Nasir-Toosi Higher Education Center,35.7583124,51.4064475,
social sciences and humanities,Mofid University (Qom),34.6077933,50.8464144,
social sciences and humanities,Payam Noor University (Tehran),35.8012912,51.5028383,
social sciences and humanities,Persian Gulf University (Bushehr),28.9084107,50.8215695,
social sciences and humanities,Razi University (Kermanshah),34.3879148,47.1088877,
social sciences and humanities,Semnan University,35.603238,53.4344318,
social sciences and humanities,Shahrood University,36.3930937,54.9402482,
social sciences and humanities,Shiraz University,29.6458977,52.4940266,
social sciences and humanities,Sistan and Baluchestan University,29.4592295,60.8528287,
social sciences and humanities,Shomal University (Amol),36.4026817,52.3443848,
social sciences and humanities,Tabriz University,38.0633969,46.3293601,
social sciences and humanities,Tarbiat Modares University (Tehran),35.7234731,51.3840657,
social sciences and humanities,Tehran International Studies & Research Institute,35.7076802,51.3966614,
social sciences and humanities,University of Social Welfare Rehabilitation Sciences,35.8003954,51.3979333,
social sciences and humanities,University of Qazvin,36.2799954,49.9895117,
social sciences and humanities,University of Tehran,35.7057057,51.3974289,
social sciences and humanities,University of Yazd,31.8394115,54.3510375,
social sciences and humanities,Urmia University,37.5389366,45.0819119,
social sciences and humanities,Zanjan University,36.7029472,48.5117201,
